"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000104415.14",289.312363553115,-0.0663659390218188,0.489359569622787,-0.135617944639308,0.892123318749331,0.966242948403211
"ENSG00000104419.17",6518.01717239274,0.494323295131044,0.420975793842365,1.17423211111313,0.240302067365046,0.580918059778939
"ENSG00000104427.12",967.407984525555,-0.200110851352346,0.329654537037887,-0.607031995222767,0.543829679045646,0.812416235007069
"ENSG00000104432.14",136.151473746438,0.209899857332531,0.381696335732139,0.549913210274648,0.582378903003382,0.832999514731422
"ENSG00000104435.14",88.0737824115704,-0.32329716331133,0.775620466337011,-0.416823920129586,0.676807204848028,0.878818146172165
"ENSG00000104442.10",598.946828516339,-0.0330793359739793,0.252991136267655,-0.130752944399533,0.895970748246654,0.967624022420338
"ENSG00000104447.13",49984.2779461713,0.580104770784574,0.374122090137461,1.55057609822352,0.121003303785188,0.425091730340527
"ENSG00000104450.13",1166.11325522767,0.481547322870554,0.34223490905579,1.40706663793919,0.159407629730704,0.483154277355645
"ENSG00000104472.10",344.824598222776,0.458864097156222,0.233187365355368,1.9677914215332,0.0490920416314934,0.274169206465539
"ENSG00000104490.18",313.622015960681,-0.229463918125112,0.368749008868448,-0.622276704767969,0.533759936245847,0.806323542905009
"ENSG00000104497.14",402.211857681478,0.396080973959584,0.248696854248483,1.59262558891816,0.111244209519859,0.408599614503923
"ENSG00000104499.7",1.92061911480044,-0.00622849830019047,0.968925910896647,-0.00642825032352226,0.994871033637445,0.998250703749519
"ENSG00000104517.13",26694.6400258199,0.0470194538026755,0.180993375437989,0.259785495954713,0.795029239495054,0.929094607598495
"ENSG00000104518.11",2306.07676839139,0.255341849215577,0.211272179921934,1.20859191830144,0.226819662799761,0.567515931997877
"ENSG00000104522.16",1237.43279692777,-0.264591951384562,0.227780788077063,-1.16160784945149,0.245394792186626,0.587019055999795
"ENSG00000104524.14",168.930410417255,0.594451153188385,0.274786603463285,2.16331926555441,0.0305166323110451,0.218574001823514
"ENSG00000104529.17",885.741099538959,-0.024546351873223,0.194514054892016,-0.126193204325774,0.899578990525738,0.968759399656701
"ENSG00000104537.17",27.3544198340716,-1.23102843134557,0.680201357016412,-1.80980002266574,0.0703268044229076,0.329594598366257
"ENSG00000104549.12",2966.69456736596,0.619934732109898,0.383451691228474,1.61672186168693,0.105938332710369,0.39905320906706
"ENSG00000104611.12",1143.98023724522,-0.958292611443809,0.389916544372273,-2.45768645951293,0.013983519906551,0.145697873932239
"ENSG00000104613.12",3264.43075874123,-0.20944966535237,0.142524931472689,-1.46956510126445,0.141679577925633,0.458364912522555
"ENSG00000104626.15",674.892664960252,-0.181514190550318,0.240933679502994,-0.753378236387508,0.451222657122942,0.758505191045894
"ENSG00000104635.15",762.181404892304,-0.858389883530623,0.286517666551919,-2.99594050817483,0.00273599806407723,0.0593788896167282
"ENSG00000104643.10",657.789988618763,-0.00585093916163792,0.171924178250889,-0.0340320903154159,0.972851561144109,0.990194945394337
